Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.487911354;47.26870659;de;01.07.2008
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.493639301;47.28270771;de;01.07.2008
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.433816382;47.28957191;de;01.07.2008
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.45439239;47.27879102;de;01.07.2008
Bonstetten;8906;0;Bonstetten;3;ZH;8.462510333;47.31603645;de;01.07.2008
Sihlbrugg;6340;4;Hausen am Albis;4;ZH;8.575263285;47.221161;de;01.07.2008
Langnau am Albis;8135;0;Hausen am Albis;4;ZH;8.522602733;47.26616249;de;01.07.2008
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.533080372;47.24868312;de;01.07.2008
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.553387817;47.22790944;de;01.07.2008
Hedingen;8908;0;Hedingen;5;ZH;8.450402732;47.3023383;de;01.07.2008
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.518401273;47.22850465;de;01.07.2008
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.494435214;47.23254735;de;01.07.2008
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499050492;47.21811361;de;01.07.2008
Knonau;8934;0;Knonau;7;ZH;8.463070514;47.22429179;de;01.07.2008
Maschwanden;8933;0;Maschwanden;8;ZH;8.430865808;47.23566581;de;01.07.2008
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.466212301;47.24873641;de;01.07.2008
Affoltern am Albis;8910;0;Obfelden;10;ZH;8.438566231;47.27137607;de;01.07.2008
Obfelden;8912;0;Obfelden;10;ZH;8.422386634;47.26039752;de;01.07.2008
Ottenbach;8913;0;Ottenbach;11;ZH;8.40857484;47.28107503;de;01.07.2008
Rifferswil;8911;0;Rifferswil;12;ZH;8.49488718;47.24550057;de;01.07.2008
Adliswil;8134;0;Stallikon;13;ZH;8.505877599;47.31210529;de;01.07.2008
Stallikon;8143;0;Stallikon;13;ZH;8.489620691;47.32971316;de;01.07.2008
Uetliberg;8143;2;Stallikon;13;ZH;8.49173569;47.34851184;de;01.07.2008
Wettswil;8907;0;Wettswil am Albis;14;ZH;8.470612515;47.3374022;de;01.07.2008
Benken ZH;8463;0;Benken (ZH);22;ZH;8.654666544;47.65377796;de;01.07.2008
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;8.585741053;47.56297525;de;01.07.2008
Gräslikon;8415;1;Berg am Irchel;23;ZH;8.605113275;47.55600242;de;01.07.2008
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;8.625154489;47.55047881;de;01.07.2008
Dachsen;8447;0;Dachsen;25;ZH;8.624375293;47.66174994;de;01.07.2008
Dorf;8458;0;Dorf;26;ZH;8.649329748;47.57127196;de;01.07.2008
Feuerthalen;8245;0;Feuerthalen;27;ZH;8.64416602;47.68902348;de;01.07.2008
Langwiesen;8246;0;Feuerthalen;27;ZH;8.662656729;47.68335284;de;01.07.2008
Flaach;8416;0;Flaach;28;ZH;8.601940328;47.583402;de;01.07.2008
Flurlingen;8247;0;Flurlingen;29;ZH;8.635510083;47.68360383;de;01.07.2008
Henggart;8444;0;Henggart;31;ZH;8.680830542;47.56038766;de;01.07.2008
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;8.684949095;47.60679239;de;01.07.2008
Alten;8453;0;Kleinandelfingen;33;ZH;8.640865573;47.59690262;de;01.07.2008
Oerlingen;8461;0;Kleinandelfingen;33;ZH;8.677585177;47.62323023;de;01.07.2008
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;8.610294829;47.66327006;de;01.07.2008
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;8.65016937;47.66931256;de;01.07.2008
Dachsen;8447;0;Laufen-Uhwiesen;34;ZH;8.61374192;47.67559684;de;01.07.2008
Marthalen;8460;0;Marthalen;35;ZH;8.638588344;47.61833178;de;01.07.2008
Ellikon am Rhein;8464;0;Marthalen;35;ZH;8.6060112;47.60219071;de;01.07.2008
Trüllikon;8466;0;Ossingen;37;ZH;8.689871286;47.62522372;de;01.07.2008
Ossingen;8475;0;Ossingen;37;ZH;8.721858087;47.61132641;de;01.07.2008
Rheinau;8462;0;Rheinau;38;ZH;8.618020226;47.62764126;de;01.07.2008
Ellikon am Rhein;8464;0;Rheinau;38;ZH;8.608697131;47.60357982;de;01.07.2008
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;8.745260537;47.58200511;de;01.07.2008
Rudolfingen;8465;0;Trüllikon;40;ZH;8.67126389;47.63812496;de;01.07.2008
Wildensbuch;8465;1;Trüllikon;40;ZH;8.679796274;47.65096027;de;01.07.2008
Trüllikon;8466;0;Trüllikon;40;ZH;8.700218444;47.63630001;de;01.07.2008
Truttikon;8467;0;Truttikon;41;ZH;8.729610675;47.63240407;de;01.07.2008
Volken;8459;0;Volken;43;ZH;8.631466248;47.5766261;de;01.07.2008
Bülach;8180;0;Bachenbülach;51;ZH;8.56442171;47.51030825;de;01.07.2008
Bachenbülach;8184;0;Bachenbülach;51;ZH;8.545321773;47.50111302;de;01.07.2008
Bassersdorf;8303;0;Bassersdorf;52;ZH;8.625925501;47.4402101;de;01.07.2008
Bülach;8180;0;Bülach;53;ZH;8.545629419;47.53066414;de;01.07.2008
Glattfelden;8192;0;Bülach;53;ZH;8.524550192;47.54902721;de;01.07.2008
Dietlikon;8305;0;Dietlikon;54;ZH;8.612448141;47.42487909;de;01.07.2008
Dübendorf;8600;0;Dietlikon;54;ZH;8.624613635;47.40826694;de;01.07.2008
Eglisau;8193;0;Eglisau;55;ZH;8.52304829;47.57234106;de;01.07.2008
Rafz;8197;0;Eglisau;55;ZH;8.541636228;47.59116463;de;01.07.2008
Embrach;8424;0;Embrach;56;ZH;8.599599424;47.51005354;de;01.07.2008
Freienstein;8427;2;Freienstein-Teufen;57;ZH;8.596010574;47.53250054;de;01.07.2008
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;8.573868113;47.55154164;de;01.07.2008
Glattfelden;8192;0;Glattfelden;58;ZH;8.502318141;47.55537025;de;01.07.2008
Zweidlen;8192;1;Glattfelden;58;ZH;8.472620533;47.56722625;de;01.07.2008
Eglisau;8193;0;Glattfelden;58;ZH;8.495676836;47.57888386;de;01.07.2008
Hochfelden;8182;0;Hochfelden;59;ZH;8.508463863;47.52803892;de;01.07.2008
Glattfelden;8192;0;Hochfelden;59;ZH;8.499386932;47.53939418;de;01.07.2008
Höri;8181;0;Höri;60;ZH;8.500889988;47.50803664;de;01.07.2008
Hüntwangen;8194;0;Hüntwangen;61;ZH;8.498233472;47.59304236;de;01.07.2008
Kloten;8302;0;Kloten;62;ZH;8.582091156;47.45875672;de;01.07.2008
Nürensdorf;8309;0;Kloten;62;ZH;8.626374801;47.46300841;de;01.07.2008
Lufingen;8426;0;Lufingen;63;ZH;8.594760719;47.48180331;de;01.07.2008
Nürensdorf;8309;0;Nürensdorf;64;ZH;8.651219194;47.45497197;de;01.07.2008
Oberembrach;8425;0;Oberembrach;65;ZH;8.633535286;47.48957277;de;01.07.2008
Zürich;8052;0;Opfikon;66;ZH;8.562018474;47.41744129;de;01.07.2008
Glattbrugg;8152;0;Opfikon;66;ZH;8.562290913;47.43257737;de;01.07.2008
Opfikon;8152;1;Opfikon;66;ZH;8.582781547;47.42950745;de;01.07.2008
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;8.563608837;47.42083458;de;01.07.2008
Rafz;8197;0;Rafz;67;ZH;8.544794369;47.60824872;de;01.07.2008
Rorbas;8427;3;Rorbas;68;ZH;8.569017301;47.53234251;de;01.07.2008
Teufen ZH;8428;0;Rorbas;68;ZH;8.569678539;47.54321157;de;01.07.2008
Wallisellen;8304;0;Wallisellen;69;ZH;8.596275289;47.42120836;de;01.07.2008
Wasterkingen;8195;0;Wasterkingen;70;ZH;8.471969518;47.59653371;de;01.07.2008
Wil ZH;8196;0;Wasterkingen;70;ZH;8.477909005;47.6103184;de;01.07.2008
Wil ZH;8196;0;Wil (ZH);71;ZH;8.501493934;47.61217952;de;01.07.2008
Rafz;8197;0;Wil (ZH);71;ZH;8.536014126;47.59272753;de;01.07.2008
Bülach;8180;0;Winkel;72;ZH;8.567960555;47.50703317;de;01.07.2008
Winkel;8185;0;Winkel;72;ZH;8.558279067;47.48206541;de;01.07.2008
Bachs;8164;0;Bachs;81;ZH;8.425734543;47.52876406;de;01.07.2008
Boppelsen;8113;0;Boppelsen;82;ZH;8.407193997;47.46994361;de;01.07.2008
Regensberg;8158;0;Boppelsen;82;ZH;8.402681007;47.48150123;de;01.07.2008
Buchs ZH;8107;0;Buchs (ZH);83;ZH;8.440635795;47.45866674;de;01.07.2008
Dällikon;8108;0;Dällikon;84;ZH;8.432374752;47.43900371;de;01.07.2008
Dänikon ZH;8114;0;Dänikon;85;ZH;8.40472268;47.4443546;de;01.07.2008
Dielsdorf;8157;0;Dielsdorf;86;ZH;8.455192104;47.47563224;de;01.07.2008
Hüttikon;8115;0;Hüttikon;87;ZH;8.392296033;47.44110168;de;01.07.2008
Steinmaur;8162;0;Neerach;88;ZH;8.456907337;47.5108346;de;01.07.2008
Bachs;8164;0;Neerach;88;ZH;8.461177225;47.51386685;de;01.07.2008
Neerach;8173;0;Neerach;88;ZH;8.475461452;47.50650239;de;01.07.2008
Stadel b. Niederglatt;8174;0;Neerach;88;ZH;8.473982407;47.52090895;de;01.07.2008
Niederhasli;8155;0;Niederglatt;89;ZH;8.480345882;47.49126852;de;01.07.2008
Niederglatt ZH;8172;0;Niederglatt;89;ZH;8.500823099;47.49192981;de;01.07.2008
Niederhasli;8155;0;Niederhasli;90;ZH;8.486615494;47.47667576;de;01.07.2008
Nassenwil;8155;1;Niederhasli;90;ZH;8.471016354;47.46745304;de;01.11.2012
Oberhasli;8156;0;Niederhasli;90;ZH;8.499283664;47.46063588;de;01.07.2008
Niederweningen;8166;0;Niederweningen;91;ZH;8.374606055;47.49688959;de;01.07.2008
Oberglatt ZH;8154;0;Oberglatt;92;ZH;8.524915084;47.48036222;de;01.07.2008
Siglistorf;5462;0;Oberweningen;93;ZH;8.400753677;47.52759893;de;01.07.2008
Oberweningen;8165;2;Oberweningen;93;ZH;8.405782409;47.50402397;de;01.07.2008
Buchs ZH;8107;0;Otelfingen;94;ZH;8.413565968;47.45559055;de;01.07.2008
Otelfingen;8112;0;Otelfingen;94;ZH;8.384998355;47.46575051;de;01.07.2008
Regensberg;8158;0;Regensberg;95;ZH;8.422876431;47.47567206;de;01.07.2008
Regensdorf;8105;0;Regensdorf;96;ZH;8.465826286;47.43193792;de;01.07.2008
Watt;8105;2;Regensdorf;96;ZH;8.485664013;47.44423327;de;01.07.2008
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;8.459002805;47.45240177;de;01.07.2008
Zürich;8052;0;Rümlang;97;ZH;8.540725263;47.43260378;de;01.07.2008
Glattbrugg;8152;0;Rümlang;97;ZH;8.554663155;47.43353876;de;01.07.2008
Rümlang;8153;0;Rümlang;97;ZH;8.528301568;47.44846392;de;01.07.2008
Schleinikon;8165;3;Schleinikon;98;ZH;8.391127268;47.49436024;de;01.07.2008
Schöfflisdorf;8165;0;Schöfflisdorf;99;ZH;8.420413813;47.49958239;de;01.07.2008
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;8.469859657;47.52699117;de;01.07.2008
Windlach;8175;0;Stadel;100;ZH;8.474257206;47.54779584;de;01.07.2008
Niederhasli;8155;0;Steinmaur;101;ZH;8.474590065;47.49139222;de;01.07.2008
Steinmaur;8162;0;Steinmaur;101;ZH;8.446954293;47.49956675;de;01.07.2008
Sünikon;8162;1;Steinmaur;101;ZH;8.42714275;47.48805705;de;01.05.2011
Weiach;8187;0;Weiach;102;ZH;8.441509116;47.55351887;de;01.07.2008
Hinwil;8340;0;Bäretswil;111;ZH;8.851503983;47.32318064;de;01.07.2008
Bäretswil;8344;0;Bäretswil;111;ZH;8.873942049;47.33611832;de;01.07.2008
Adetswil;8345;0;Bäretswil;111;ZH;8.836701805;47.34256414;de;01.07.2008
Gibswil;8498;0;Bäretswil;111;ZH;8.908900149;47.32025133;de;01.05.2012
Bubikon;8608;0;Bubikon;112;ZH;8.810813149;47.27466398;de;01.07.2008
Wolfhausen;8633;0;Bubikon;112;ZH;8.79803138;47.25843501;de;01.07.2008
Hinwil;8340;0;Dürnten;113;ZH;8.851012313;47.28391406;de;01.07.2008
Bubikon;8608;0;Dürnten;113;ZH;8.829948397;47.26750411;de;01.07.2008
Rüti ZH;8630;0;Dürnten;113;ZH;8.854275815;47.26384865;de;01.07.2008
Tann;8632;0;Dürnten;113;ZH;8.849182802;47.26823205;de;01.07.2008
Dürnten;8635;0;Dürnten;113;ZH;8.873968872;47.27489947;de;01.07.2008
Wald ZH;8636;0;Dürnten;113;ZH;8.890258641;47.27117978;de;01.07.2008
Hinwil;8340;0;Fischenthal;114;ZH;8.891286317;47.3146351;de;01.07.2008
Bauma;8494;0;Fischenthal;114;ZH;8.921140613;47.35968875;de;01.07.2008
Steg im Tösstal;8496;0;Fischenthal;114;ZH;8.946241428;47.34409484;de;01.07.2008
Fischenthal;8497;0;Fischenthal;114;ZH;8.925077252;47.33286699;de;01.07.2008
Gibswil;8498;0;Fischenthal;114;ZH;8.906843198;47.31621917;de;01.05.2012
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);115;ZH;8.757023394;47.32078089;de;01.07.2008
Mönchaltorf;8617;0;Gossau (ZH);115;ZH;8.73557492;47.30959554;de;01.07.2008
Grüt (Gossau ZH);8624;0;Gossau (ZH);115;ZH;8.782125461;47.30854394;de;01.07.2008
Gossau ZH;8625;0;Gossau (ZH);115;ZH;8.757683985;47.30410472;de;01.07.2008
Ottikon (Gossau ZH);8626;0;Gossau (ZH);115;ZH;8.786015602;47.28934345;de;01.07.2008
Grüningen;8627;0;Gossau (ZH);115;ZH;8.737011618;47.28855163;de;01.07.2008
Grüningen;8627;0;Grüningen;116;ZH;8.762113624;47.27876515;de;01.07.2008
Hinwil;8340;0;Hinwil;117;ZH;8.850426003;47.30291402;de;01.07.2008
Wernetshausen;8342;0;Hinwil;117;ZH;8.877708773;47.2905896;de;01.07.2008
Gibswil;8498;0;Hinwil;117;ZH;8.89861953;47.30871243;de;01.05.2012
Rüti ZH;8630;0;Rüti (ZH);118;ZH;8.860706043;47.2580509;de;01.07.2008
Wald ZH;8636;0;Rüti (ZH);118;ZH;8.903738128;47.26770493;de;01.07.2008
Aathal-Seegräben;8607;0;Seegräben;119;ZH;8.767359557;47.34309567;de;01.07.2008
Fischenthal;8497;0;Wald (ZH);120;ZH;8.932103897;47.31406671;de;01.07.2008
Wald ZH;8636;0;Wald (ZH);120;ZH;8.925873208;47.28343104;de;01.07.2008
Laupen ZH;8637;0;Wald (ZH);120;ZH;8.929785028;47.26684415;de;01.07.2008
Adetswil;8345;0;Wetzikon (ZH);121;ZH;8.830090606;47.33480864;de;01.07.2008
Wetzikon ZH;8620;0;Wetzikon (ZH);121;ZH;8.807465557;47.31917077;de;01.07.2008
Wetzikon ZH;8623;0;Wetzikon (ZH);121;ZH;8.821414807;47.3321701;de;01.07.2008
Zürich;8041;0;Adliswil;131;ZH;8.513269872;47.32233637;de;01.07.2008
Adliswil;8134;0;Adliswil;131;ZH;8.521857425;47.30790947;de;01.07.2008
Kilchberg ZH;8802;0;Kilchberg (ZH);135;ZH;8.545314271;47.32158525;de;01.07.2008
Rüschlikon;8803;0;Kilchberg (ZH);135;ZH;8.554338796;47.31546233;de;01.07.2008
Langnau am Albis;8135;0;Langnau am Albis;136;ZH;8.528289973;47.28307438;de;01.07.2008
Oberrieden;8942;0;Oberrieden;137;ZH;8.569209485;47.27285335;de;01.07.2008
Richterswil;8805;0;Richterswil;138;ZH;8.695921441;47.20812145;de;01.07.2008
Samstagern;8833;0;Richterswil;138;ZH;8.679482062;47.19379005;de;01.07.2008
Rüschlikon;8803;0;Rüschlikon;139;ZH;8.547617515;47.30461451;de;01.07.2008
Gattikon;8136;0;Thalwil;141;ZH;8.553091141;47.27821877;de;01.07.2008
Thalwil;8800;0;Thalwil;141;ZH;8.563761624;47.28873242;de;01.07.2008
Erlenbach ZH;8703;0;Erlenbach (ZH);151;ZH;8.599185224;47.30399176;de;01.07.2008
Erlenbach ZH;8703;0;Herrliberg;152;ZH;8.604055719;47.29369122;de;01.07.2008
Herrliberg;8704;0;Herrliberg;152;ZH;8.629232099;47.29678537;de;01.07.2008
Grüningen;8627;0;Hombrechtikon;153;ZH;8.778993973;47.26494968;de;01.07.2008
Hombrechtikon;8634;0;Hombrechtikon;153;ZH;8.76586094;47.25518904;de;01.07.2008
Feldbach;8714;0;Hombrechtikon;153;ZH;8.785545257;47.2416317;de;01.07.2008
Forch;8127;0;Küsnacht (ZH);154;ZH;8.648898967;47.32237372;de;01.07.2008
Küsnacht ZH;8700;0;Küsnacht (ZH);154;ZH;8.596214108;47.32144721;de;01.07.2008
Oetwil am See;8618;0;Männedorf;155;ZH;8.712196092;47.26563669;de;01.07.2008
Männedorf;8708;0;Männedorf;155;ZH;8.696781922;47.26118103;de;01.07.2008
Meilen;8706;0;Meilen;156;ZH;8.646048604;47.28145988;de;01.07.2008
Oetwil am See;8618;0;Oetwil am See;157;ZH;8.718220715;47.27459687;de;01.07.2008
Hombrechtikon;8634;0;Stäfa;158;ZH;8.755556678;47.2428822;de;01.07.2008
Stäfa;8712;0;Stäfa;158;ZH;8.728813215;47.24925618;de;01.07.2008
Uerikon;8713;0;Stäfa;158;ZH;8.75745798;47.23790288;de;01.07.2008
Uetikon am See;8707;0;Uetikon am See;159;ZH;8.682268675;47.27120321;de;01.07.2008
Zumikon;8126;0;Zumikon;160;ZH;8.625842114;47.33589626;de;01.07.2008
Zollikerberg;8125;0;Zollikon;161;ZH;8.608221655;47.34465243;de;01.07.2008
Zollikon;8702;0;Zollikon;161;ZH;8.580677364;47.34154943;de;01.07.2008
Illnau;8308;0;Fehraltorf;172;ZH;8.747317006;47.40428324;de;01.07.2008
Fehraltorf;8320;0;Fehraltorf;172;ZH;8.750521187;47.38740527;de;01.07.2008
Hittnau;8335;0;Hittnau;173;ZH;8.829818323;47.36722786;de;01.07.2008
Kemptthal;8310;0;Lindau;176;ZH;8.703725885;47.44887298;de;01.07.2008
Grafstal;8310;1;Lindau;176;ZH;8.697431278;47.4442863;de;01.07.2008
Winterberg ZH;8312;0;Lindau;176;ZH;8.690739155;47.45711103;de;01.07.2008
Lindau;8315;0;Lindau;176;ZH;8.677375466;47.44362865;de;01.07.2008
Tagelswangen;8317;0;Lindau;176;ZH;8.66900915;47.42676066;de;01.07.2008
Pfäffikon ZH;8330;0;Pfäffikon;177;ZH;8.796360149;47.36690541;de;01.07.2008
Auslikon;8331;0;Pfäffikon;177;ZH;8.809399317;47.34639779;de;01.07.2008
Wetzikon ZH;8623;0;Pfäffikon;177;ZH;8.815556157;47.33816854;de;01.07.2008
Madetswil;8322;0;Russikon;178;ZH;8.793747218;47.41220572;de;01.07.2008
Gündisau;8322;2;Russikon;178;ZH;8.805382075;47.39830675;de;01.05.2011
Russikon;8332;0;Russikon;178;ZH;8.783096174;47.39531415;de;01.07.2008
Rumlikon;8332;2;Russikon;178;ZH;8.76181947;47.40836875;de;01.05.2011
Agasul;8308;2;Weisslingen;180;ZH;8.746811361;47.42682372;de;01.07.2008
Weisslingen;8484;0;Weisslingen;180;ZH;8.772611634;47.4353615;de;01.07.2008
Neschwil;8484;2;Weisslingen;180;ZH;8.794576555;47.42718206;de;01.07.2008
Theilingen;8484;3;Weisslingen;180;ZH;8.764892935;47.41739704;de;01.07.2008
Rikon im Tösstal;8486;0;Weisslingen;180;ZH;8.786795146;47.44801656;de;01.07.2008
Wila;8492;0;Wila;181;ZH;8.867380297;47.40055757;de;01.07.2008
Saland;8493;0;Wila;181;ZH;8.858048178;47.39684392;de;01.07.2008
Madetswil;8322;0;Wildberg;182;ZH;8.804743035;47.41852052;de;01.07.2008
Turbenthal;8488;0;Wildberg;182;ZH;8.831550231;47.43903088;de;01.07.2008
Wildberg;8489;0;Wildberg;182;ZH;8.819649744;47.42747418;de;01.07.2008
Schalchen;8489;1;Wildberg;182;ZH;8.833423663;47.40555088;de;01.03.2016
Ehrikon;8489;2;Wildberg;182;ZH;8.812074009;47.41635444;de;01.03.2016
Gockhausen;8044;1;Dübendorf;191;ZH;8.604425595;47.37846196;de;01.07.2008
Zürich;8051;0;Dübendorf;191;ZH;8.589022234;47.39350649;de;01.07.2008
Dübendorf;8600;0;Dübendorf;191;ZH;8.620954343;47.39276767;de;01.07.2008
Schwerzenbach;8603;0;Dübendorf;191;ZH;8.646336408;47.3864651;de;01.07.2008
Forch;8127;0;Egg;192;ZH;8.662024468;47.30566472;de;01.07.2008
Egg b. Zürich;8132;0;Egg;192;ZH;8.687626144;47.29273028;de;01.07.2008
Hinteregg;8132;2;Egg;192;ZH;8.684547456;47.31108208;de;01.07.2008
Esslingen;8133;0;Egg;192;ZH;8.716084998;47.28923247;de;01.07.2008
Fällanden;8117;0;Fällanden;193;ZH;8.640855565;47.37038006;de;01.07.2008
Pfaffhausen;8118;0;Fällanden;193;ZH;8.625834125;47.36607663;de;01.07.2008
Benglen;8121;0;Fällanden;193;ZH;8.636745926;47.36120865;de;01.07.2008
Greifensee;8606;2;Greifensee;194;ZH;8.679781042;47.36617957;de;01.07.2008
Binz;8122;0;Maur;195;ZH;8.627147542;47.35668862;de;01.07.2008
Ebmatingen;8123;0;Maur;195;ZH;8.639428016;47.351396;de;01.07.2008
Maur;8124;0;Maur;195;ZH;8.670572255;47.33252004;de;01.07.2008
Forch;8127;0;Maur;195;ZH;8.654119907;47.33460746;de;01.07.2008
Hinteregg;8132;2;Maur;195;ZH;8.683362328;47.31697747;de;01.07.2008
Aathal-Seegräben;8607;0;Mönchaltorf;196;ZH;8.75853553;47.32856278;de;01.07.2008
Mönchaltorf;8617;0;Mönchaltorf;196;ZH;8.71947278;47.31230659;de;01.07.2008
Dübendorf;8600;0;Schwerzenbach;197;ZH;8.650132553;47.39097001;de;01.07.2008
Schwerzenbach;8603;0;Schwerzenbach;197;ZH;8.656313474;47.38236042;de;01.07.2008
Gutenswil;8605;0;Uster;198;ZH;8.714673455;47.37679458;de;01.07.2008
Nänikon;8606;0;Uster;198;ZH;8.692812633;47.37136553;de;01.07.2008
Uster;8610;0;Uster;198;ZH;8.722717094;47.35275023;de;01.07.2008
Sulzbach;8614;2;Uster;198;ZH;8.746736157;47.32724668;de;01.07.2008
Wermatswil;8615;0;Uster;198;ZH;8.740617898;47.36590915;de;01.07.2008
Freudwil;8615;2;Uster;198;ZH;8.732563653;47.37668819;de;01.07.2008
Riedikon;8616;0;Uster;198;ZH;8.710460235;47.32892924;de;01.07.2008
Mönchaltorf;8617;0;Uster;198;ZH;8.73576653;47.32693521;de;01.07.2008
Effretikon;8307;0;Volketswil;199;ZH;8.682460582;47.41183044;de;01.07.2008
Volketswil;8604;0;Volketswil;199;ZH;8.681958816;47.39486434;de;01.07.2008
Gutenswil;8605;0;Volketswil;199;ZH;8.717574036;47.38651767;de;01.07.2008
Brüttisellen;8306;0;Wangen-Brüttisellen;200;ZH;8.637020463;47.42218616;de;01.07.2008
Wangen b. Dübendorf;8602;0;Wangen-Brüttisellen;200;ZH;8.650518158;47.40872203;de;01.07.2008
Altikon;8479;0;Altikon;211;ZH;8.784487579;47.57821307;de;01.07.2008
Brütten;8311;0;Brütten;213;ZH;8.675184952;47.47523254;de;01.07.2008
Rutschwil (Dägerlen);8471;0;Dägerlen;214;ZH;8.732785549;47.55627972;de;01.07.2008
Dägerlen;8471;2;Dägerlen;214;ZH;8.716605326;47.56136446;de;01.07.2008
Oberwil (Dägerlen);8471;3;Dägerlen;214;ZH;8.714650032;47.57131197;de;01.07.2008
Berg (Dägerlen);8471;4;Dägerlen;214;ZH;8.733289555;47.56660147;de;01.07.2008
Bänk (Dägerlen);8471;5;Dägerlen;214;ZH;8.738671303;47.54890921;de;01.07.2008
Dättlikon;8421;0;Dättlikon;215;ZH;8.623523171;47.52858202;de;01.07.2008
Dinhard;8474;0;Dinhard;216;ZH;8.765165364;47.55912497;de;01.07.2008
Ellikon an der Thur;8548;0;Ellikon an der Thur;218;ZH;8.82722044;47.56245731;de;01.07.2008
Elsau;8352;0;Elsau;219;ZH;8.804811911;47.50224215;de;01.07.2008
Gerlikon;8500;4;Hagenbuch;220;ZH;8.875508589;47.52769446;de;01.07.2008
Hagenbuch ZH;8523;0;Hagenbuch;220;ZH;8.874054485;47.5146424;de;01.07.2008
Hettlingen;8442;0;Hettlingen;221;ZH;8.710725044;47.54810659;de;01.07.2008
Aesch (Neftenbach);8412;0;Neftenbach;223;ZH;8.677500147;47.54465136;de;01.07.2008
Riet (Neftenbach);8412;1;Neftenbach;223;ZH;8.689065994;47.53718826;de;01.07.2008
Hünikon (Neftenbach);8412;2;Neftenbach;223;ZH;8.663382714;47.55377648;de;01.07.2008
Neftenbach;8413;0;Neftenbach;223;ZH;8.663295371;47.53145183;de;01.07.2008
Pfungen;8422;0;Pfungen;224;ZH;8.64236874;47.50972557;de;01.07.2008
Rickenbach ZH;8545;0;Rickenbach (ZH);225;ZH;8.795570401;47.55374902;de;01.07.2008
Rickenbach Sulz;8545;1;Rickenbach (ZH);225;ZH;8.787502892;47.54120202;de;01.07.2008
Hofstetten ZH;8354;0;Schlatt (ZH);226;ZH;8.839626925;47.47281059;de;01.07.2008
Winterthur;8405;0;Schlatt (ZH);226;ZH;8.798589333;47.47151148;de;01.07.2008
Schlatt ZH;8418;0;Schlatt (ZH);226;ZH;8.818521403;47.47149138;de;01.01.2016
Seuzach;8472;0;Seuzach;227;ZH;8.724353075;47.53483566;de;01.07.2008
Bichelsee;8363;0;Turbenthal;228;ZH;8.921304224;47.43405482;de;01.07.2008
Turbenthal;8488;0;Turbenthal;228;ZH;8.875733867;47.43820962;de;01.07.2008
Wila;8492;0;Turbenthal;228;ZH;8.863807564;47.41151475;de;01.07.2008
Schmidrüti;8495;0;Turbenthal;228;ZH;8.907591682;47.41886251;de;01.07.2008
Kemptthal;8310;0;Winterthur;230;ZH;8.71219093;47.46009339;de;01.07.2008
Ricketwil (Winterthur);8352;2;Winterthur;230;ZH;8.797503449;47.48689691;de;01.07.2008
Winterthur;8400;0;Winterthur;230;ZH;8.729481589;47.48885147;de;01.07.2008
Winterthur;8404;0;Winterthur;230;ZH;8.759223003;47.50747512;de;01.07.2008
Reutlingen (Winterthur);8404;2;Winterthur;230;ZH;8.750548477;47.52774316;de;01.07.2008
Stadel (Winterthur);8404;3;Winterthur;230;ZH;8.765223164;47.53819398;de;01.07.2008
Winterthur;8405;0;Winterthur;230;ZH;8.778269585;47.4775495;de;01.07.2008
Winterthur;8406;0;Winterthur;230;ZH;8.700625776;47.48322457;de;01.07.2008
Winterthur;8408;0;Winterthur;230;ZH;8.68334221;47.5077395;de;01.07.2008
Winterthur;8409;0;Winterthur;230;ZH;8.781455851;47.50982511;de;01.07.2008
Sennhof (Winterthur);8482;0;Winterthur;230;ZH;8.758044451;47.46734823;de;01.07.2008
Wiesendangen;8542;0;Winterthur;230;ZH;8.77776148;47.53164822;de;01.07.2008
Rickenbach Sulz;8545;1;Winterthur;230;ZH;8.782573524;47.53516521;de;01.07.2008
Kollbrunn;8483;0;Zell (ZH);231;ZH;8.785673937;47.45513703;de;01.07.2008
Rikon im Tösstal;8486;0;Zell (ZH);231;ZH;8.804925342;47.44987241;de;01.07.2008
Zell ZH;8487;0;Zell (ZH);231;ZH;8.8311194;47.45175152;de;01.07.2008
